Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.4.2026,13:49:6.546,49.0,50.0,21.000,20.485,42.0,1730.0,2633,4747,
19.4.2026,13:49:6.758,49.0,50.0,20.000,20.916,1.0,1730.0,2628,4742,
19.4.2026,13:49:6.951,49.0,50.0,20.000,20.345,28.0,1730.0,2628,4742,
19.4.2026,13:49:7.164,48.0,49.0,20.000,20.464,70.0,1730.0,2626,4740,
19.4.2026,13:49:7.368,49.0,49.0,20.000,20.218,8.0,1730.0,2626,4740,
19.4.2026,13:49:7.570,49.0,50.0,19.000,20.293,34.0,1726.0,2624,4738,
19.4.2026,13:49:7.769,49.0,49.0,19.000,20.216,18.0,1730.0,2624,4738,
19.4.2026,13:49:7.974,49.0,49.0,20.000,20.373,36.0,1730.0,2624,4738,
19.4.2026,13:49:8.176,48.0,49.0,19.000,20.215,19.0,1730.0,2623,4737,
19.4.2026,13:49:8.378,48.0,49.0,20.000,20.242,18.0,1730.0,2623,4737,
19.4.2026,13:49:8.583,49.0,49.0,20.000,20.344,24.0,1726.0,2623,4737,
19.4.2026,13:49:8.786,48.0,49.0,20.000,20.315,5.0,1730.0,2623,4737,
19.4.2026,13:49:8.992,49.0,49.0,20.000,20.356,42.0,1730.0,2623,4737,
19.4.2026,13:49:9.192,48.0,49.0,20.000,20.372,21.0,1726.0,2623,4737,
19.4.2026,13:49:9.392,48.0,49.0,19.000,20.362,22.0,1730.0,2623,4737,
19.4.2026,13:49:9.592,48.0,49.0,20.000,20.323,32.0,1698.0,2623,4737,
19.4.2026,13:49:9.808,49.0,49.0,20.000,20.293,3.0,1730.0,2623,4737,
19.4.2026,13:49:10.011,48.0,49.0,20.000,20.371,19.0,1730.0,2623,4737,
19.4.2026,13:49:10.229,48.0,49.0,20.000,20.388,11.0,1726.0,2623,4737,
19.4.2026,13:49:10.433,48.0,49.0,20.000,20.319,23.0,1730.0,2623,4737,
19.4.2026,13:49:10.634,48.0,49.0,20.000,20.314,75.0,1726.0,2623,4737,
19.4.2026,13:49:10.833,48.0,49.0,20.000,20.294,34.0,1730.0,2623,4737,
19.4.2026,13:49:11.036,48.0,49.0,20.000,20.271,50.0,1726.0,2623,4737,
19.4.2026,13:49:11.236,48.0,49.0,20.000,20.368,34.0,1726.0,2624,4738,
19.4.2026,13:49:11.438,48.0,49.0,20.000,21.435,0.0,1730.0,2625,4739,
19.4.2026,13:49:11.638,49.0,50.0,21.000,21.701,14.0,1730.0,2625,4739,
19.4.2026,13:49:11.855,49.0,50.0,21.000,21.566,21.0,1726.0,2625,4739,
19.4.2026,13:49:12.058,49.0,50.0,22.000,21.419,65.0,1728.0,2625,4739,
19.4.2026,13:49:12.258,49.0,50.0,27.000,26.942,1756.0,1730.0,2626,4740,
19.4.2026,13:49:12.461,48.0,51.0,27.000,27.742,1737.0,1730.0,2626,4740,
19.4.2026,13:49:12.664,49.0,50.0,27.000,27.743,1756.0,1730.0,2626,4740,
19.4.2026,13:49:12.866,49.0,51.0,27.000,27.765,1755.0,1730.0,2626,4740,
19.4.2026,13:49:13.068,49.0,51.0,27.000,27.611,1737.0,1728.0,2626,4740,
