Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
24.4.2026,13:51:23.952,37.0,37.0,23.000,22.006,95.0,1730.0,1150,5223,
24.4.2026,13:51:24.061,37.0,37.0,23.000,22.006,95.0,1730.0,1150,5223,
24.4.2026,13:51:24.265,37.0,38.0,22.000,22.350,50.0,1730.0,1145,5218,
24.4.2026,13:51:24.468,37.0,37.0,21.000,21.916,49.0,1730.0,1145,5218,
24.4.2026,13:51:24.671,37.0,38.0,21.000,21.700,37.0,1728.0,1145,5218,
24.4.2026,13:51:24.873,37.0,37.0,20.000,21.513,30.0,1730.0,1145,5218,
24.4.2026,13:51:25.073,37.0,37.0,21.000,21.129,44.0,1730.0,1145,5218,
24.4.2026,13:51:25.277,37.0,37.0,21.000,21.787,60.0,1730.0,1145,5218,
24.4.2026,13:51:25.478,37.0,37.0,22.000,21.639,86.0,1730.0,1145,5218,
24.4.2026,13:51:25.680,37.0,37.0,21.000,21.744,38.0,1730.0,1145,5218,
24.4.2026,13:51:25.884,37.0,37.0,20.000,21.303,2.0,1726.0,1145,5218,
24.4.2026,13:51:26.083,37.0,37.0,22.000,21.420,40.0,1726.0,1145,5218,
24.4.2026,13:51:26.284,37.0,38.0,21.000,21.636,56.0,1726.0,1145,5218,
24.4.2026,13:51:26.499,37.0,37.0,21.000,21.615,26.0,1730.0,1145,5218,
24.4.2026,13:51:26.701,37.0,37.0,21.000,21.666,29.0,1730.0,1145,5218,
24.4.2026,13:51:26.904,37.0,37.0,21.000,21.464,22.0,1730.0,1149,5223,
24.4.2026,13:51:27.107,37.0,38.0,21.000,21.641,32.0,1726.0,1149,5223,
24.4.2026,13:51:27.312,36.0,37.0,21.000,21.660,51.0,1730.0,1149,5223,
24.4.2026,13:51:27.517,37.0,38.0,21.000,21.775,46.0,1730.0,1149,5223,
24.4.2026,13:51:27.720,38.0,38.0,21.000,21.702,29.0,1728.0,1149,5223,
24.4.2026,13:51:27.924,37.0,38.0,21.000,21.310,28.0,1730.0,1149,5223,
24.4.2026,13:51:28.128,37.0,38.0,21.000,21.550,60.0,1722.0,1149,5223,
24.4.2026,13:51:28.327,37.0,38.0,21.000,21.867,47.0,1730.0,1149,5223,
24.4.2026,13:51:28.529,37.0,38.0,21.000,21.721,61.0,1730.0,1149,5223,
24.4.2026,13:51:28.732,38.0,38.0,21.000,21.965,44.0,1730.0,1149,5223,
24.4.2026,13:51:28.937,37.0,37.0,20.000,21.432,2.0,1730.0,1149,5223,
24.4.2026,13:51:29.143,37.0,38.0,21.000,21.453,42.0,1728.0,1149,5223,
24.4.2026,13:51:29.348,37.0,37.0,21.000,21.633,58.0,1730.0,1149,5223,
24.4.2026,13:51:29.535,37.0,38.0,21.000,21.659,39.0,1730.0,1149,5223,
24.4.2026,13:51:29.743,37.0,37.0,20.000,21.599,8.0,1730.0,1149,5223,
24.4.2026,13:51:29.948,37.0,37.0,20.000,21.184,24.0,1728.0,1149,5223,
24.4.2026,13:51:30.151,37.0,38.0,21.000,21.544,41.0,1730.0,1149,5223,
24.4.2026,13:51:30.358,37.0,38.0,22.000,21.730,45.0,1730.0,1150,5223,
24.4.2026,13:51:30.555,37.0,38.0,23.000,22.728,36.0,1730.0,1151,5225,
24.4.2026,13:51:30.758,37.0,38.0,22.000,23.065,16.0,1728.0,1151,5225,
24.4.2026,13:51:30.962,37.0,38.0,23.000,22.443,19.0,1730.0,1151,5225,
24.4.2026,13:51:31.165,37.0,38.0,22.000,23.227,15.0,1728.0,1151,5225,
24.4.2026,13:51:31.370,38.0,38.0,30.000,26.726,1756.0,1728.0,1153,5226,
24.4.2026,13:51:31.575,37.0,38.0,30.000,29.797,1758.0,1728.0,1153,5226,
24.4.2026,13:51:31.781,38.0,38.0,29.000,29.849,261.0,1730.0,1153,5226,
24.4.2026,13:51:31.983,38.0,38.0,29.000,29.637,1758.0,1730.0,1153,5226,
24.4.2026,13:51:32.185,38.0,38.0,30.000,30.016,1758.0,1730.0,1153,5226,
24.4.2026,13:51:32.389,37.0,38.0,29.000,29.904,1758.0,1728.0,1153,5226,
24.4.2026,13:51:32.595,38.0,39.0,29.000,29.945,308.0,1730.0,1153,5226,
24.4.2026,13:51:32.789,37.0,38.0,30.000,29.913,1753.0,1730.0,1153,5226,
24.4.2026,13:51:32.991,38.0,39.0,29.000,29.926,1757.0,1730.0,1153,5226,
24.4.2026,13:51:33.196,38.0,38.0,30.000,29.814,1757.0,1728.0,1153,5226,
24.4.2026,13:51:33.399,38.0,39.0,29.000,29.860,1751.0,1730.0,1153,5226,
24.4.2026,13:51:33.603,38.0,39.0,29.000,29.807,301.0,1730.0,1153,5226,
24.4.2026,13:51:33.812,38.0,39.0,30.000,29.773,1758.0,1730.0,1153,5226,
24.4.2026,13:51:34.016,38.0,39.0,29.000,29.906,1758.0,1728.0,1153,5226,
24.4.2026,13:51:34.207,38.0,38.0,29.000,29.975,264.0,1730.0,1153,5226,
24.4.2026,13:51:34.425,38.0,39.0,30.000,29.968,1758.0,1730.0,1153,5226,
24.4.2026,13:51:34.626,38.0,38.0,29.000,29.835,1758.0,1730.0,1153,5226,
24.4.2026,13:51:34.819,38.0,38.0,29.000,29.716,299.0,1730.0,1153,5226,
24.4.2026,13:51:35.024,38.0,39.0,29.000,29.711,1748.0,1730.0,1153,5226,
24.4.2026,13:51:35.224,38.0,39.0,29.000,29.881,1756.0,1728.0,1153,5226,
24.4.2026,13:51:35.432,38.0,38.0,29.000,29.805,299.0,1730.0,1153,5226,
24.4.2026,13:51:35.637,38.0,39.0,29.000,29.914,1758.0,1728.0,1153,5226,
24.4.2026,13:51:35.846,38.0,39.0,29.000,29.948,264.0,1730.0,1153,5226,
24.4.2026,13:51:36.051,38.0,39.0,30.000,29.712,1748.0,1728.0,1153,5226,
24.4.2026,13:51:36.269,38.0,39.0,29.000,29.938,1757.0,1730.0,1153,5226,
24.4.2026,13:51:36.476,38.0,39.0,29.000,30.200,299.0,1730.0,1153,5226,
24.4.2026,13:51:36.685,38.0,39.0,30.000,29.971,1757.0,1730.0,1153,5226,
24.4.2026,13:51:36.890,38.0,39.0,30.000,30.340,1733.0,1728.0,1153,5226,
24.4.2026,13:51:37.094,38.0,39.0,30.000,30.217,1757.0,1730.0,1153,5226,
24.4.2026,13:51:37.296,38.0,39.0,30.000,30.249,1758.0,1728.0,1153,5226,
24.4.2026,13:51:37.501,38.0,39.0,30.000,30.172,1758.0,1730.0,1153,5226,
24.4.2026,13:51:37.706,38.0,39.0,30.000,30.176,295.0,1728.0,1153,5226,
24.4.2026,13:51:37.898,38.0,39.0,30.000,30.275,1758.0,1730.0,1153,5226,
24.4.2026,13:51:38.103,38.0,39.0,29.000,29.684,1758.0,1728.0,1153,5226,
24.4.2026,13:51:38.306,39.0,39.0,29.000,30.052,1758.0,1728.0,1153,5226,
24.4.2026,13:51:38.512,38.0,39.0,30.000,30.050,1756.0,1730.0,1153,5226,
24.4.2026,13:51:38.718,38.0,39.0,30.000,30.133,1758.0,1728.0,1153,5226,
24.4.2026,13:51:38.922,38.0,39.0,29.000,30.041,1758.0,1728.0,1153,5226,
24.4.2026,13:51:39.126,38.0,39.0,30.000,29.857,1749.0,1730.0,1153,5226,
24.4.2026,13:51:39.334,38.0,39.0,29.000,29.931,259.0,1728.0,1153,5226,
24.4.2026,13:51:39.540,38.0,39.0,30.000,30.030,1757.0,1728.0,1153,5226,
24.4.2026,13:51:39.748,38.0,39.0,30.000,30.096,301.0,1728.0,1153,5226,
24.4.2026,13:51:39.955,39.0,39.0,30.000,30.488,1758.0,1728.0,1153,5226,
24.4.2026,13:51:40.155,38.0,39.0,29.000,30.215,278.0,1728.0,1153,5226,
24.4.2026,13:51:40.361,38.0,39.0,29.000,29.981,1757.0,1728.0,1153,5226,
24.4.2026,13:51:40.563,38.0,39.0,29.000,30.080,1757.0,1728.0,1153,5226,
24.4.2026,13:51:40.770,39.0,39.0,29.000,29.961,298.0,1730.0,1153,5226,
24.4.2026,13:51:40.976,38.0,39.0,29.000,30.075,1757.0,1730.0,1153,5226,
