hour,minute,time_of_day,day_name,day_of_week,is_weekend,destination_type,distance_to_dest_miles,gas_level_pct,driver_fatigue_level,speed_mph,trip_duration_minutes,weather,traffic,heart_rate_bpm,last_break_minutes_ago,outside_temp_f,is_night_driving,suggestion_label,suggestion_name,norm_distance,norm_gas,norm_fatigue,norm_speed,norm_trip_min,norm_heart_rate,norm_last_break,norm_temp_f
2,46,night,Fri,4,0,grocery,28.62,23.0,4.98,50.3,50.8,clear,medium,85.2,49.0,67.3,1,4,refuel_soon,0.32,0.2441,0.472,0.5695,0.2537,0.4665,0.2708,0.6383
16,21,afternoon,Mon,0,0,school,14.73,31.5,1.88,61.2,15.9,rain,medium,68.2,31.9,34.5,0,6,weather_warning,0.1657,0.3493,0.1848,0.6547,0.0634,0.2471,0.1994,0.3868
18,49,evening,Thu,3,0,gym,13.46,73.0,2.46,56.0,5.8,rain,medium,63.6,25.4,45.1,0,0,no_action,0.1155,0.7219,0.2908,0.5964,0.0613,0.12,0.1308,0.4638
13,33,afternoon,Mon,0,0,restaurant,7.11,9.0,2.51,35.9,21.7,clear,low,75.5,114.9,69.4,0,7,route_to_gas,0.0583,0.0946,0.2694,0.3892,0.1345,0.2989,0.6275,0.6505
18,43,evening,Fri,4,0,grocery,4.63,27.9,5.24,53.5,67.1,clear,medium,70.6,3.4,4.2,0,10,coffee_suggestion,0.0164,0.2915,0.4971,0.5834,0.412,0.2469,0.0411,0.09
17,16,evening,Mon,0,0,work,25.74,32.2,3.54,46.1,10.9,snow,high,72.5,52.7,65.3,0,6,weather_warning,0.3054,0.3148,0.3237,0.5175,0.0669,0.3215,0.3179,0.638
16,6,afternoon,Tue,1,0,restaurant,9.69,64.4,4.95,51.7,58.7,fog,medium,81.7,11.0,48.4,0,6,weather_warning,0.1844,0.6563,0.4654,0.5101,0.334,0.3723,0.0485,0.4683
6,1,morning,Wed,2,0,gym,30.12,10.9,1.21,54.2,5.9,rain,high,74.5,60.4,17.6,0,4,refuel_soon,0.2722,0.0869,0.1851,0.5775,0.0578,0.2796,0.3636,0.2418
14,30,afternoon,Sun,6,1,gas_station,16.07,2.7,5.09,57.6,40.0,rain,high,79.6,45.8,27.9,0,3,refuel_now,0.1673,0.0149,0.542,0.6527,0.2682,0.3749,0.218,0.2749
0,7,night,Mon,0,0,gym,6.87,11.6,5.64,41.6,121.7,rain,high,81.9,8.9,-8.3,1,4,refuel_soon,0.1109,0.1186,0.5838,0.4005,0.6744,0.3735,0.0129,0.0
