hour,time_of_day,day_of_week,is_weekend,event_category,scheduled_event,time_until_event_min,location,energy_level,phone_battery_pct,tasks_pending,last_meal_hours_ago,last_break_minutes_ago,weather,focus_score,fuel_level_pct,has_unread_email,messages_pending,last_media,is_night,suggestion_name,suggestion_label
6,morning,3,0,none,none,999,home,24.0,88.2,7,0.34,10.5,clear,14.3,100.0,0,4,podcast,0,no_action,7
11,morning,5,1,social,family_time,161,home,46.0,72.6,2,0.1,175.3,clear,98.3,54.3,0,4,music,0,no_action,7
20,evening,0,0,school,exam,101,school,44.7,74.4,6,0.03,41.6,rain,83.3,81.6,0,0,none,0,study_for_class,18
7,morning,3,0,work,presentation,103,work,12.8,80.1,9,3.69,81.0,snow,59.8,30.2,1,5,none,0,no_action,7
7,morning,4,0,work,team_meeting,51,commuting,96.9,100.0,0,1.87,49.7,clear,42.3,91.8,0,2,none,0,play_music,9
7,morning,2,0,health,gym,92,gym,20.4,66.8,1,3.98,112.2,clear,37.1,49.4,0,4,music,0,no_action,7
7,morning,5,1,none,none,999,home,74.2,46.1,6,2.86,101.0,clear,71.1,63.1,0,3,none,0,exercise_suggestion,2
6,morning,0,0,work,team_meeting,65,work,64.4,52.4,6,1.55,36.6,clear,16.1,75.6,1,4,none,0,no_action,7
20,evening,5,1,health,gym,77,gym,90.6,100.0,8,0.77,19.8,rain,0.1,69.4,0,2,none,0,no_action,7
7,morning,2,0,work,presentation,134,work,32.0,44.6,7,0.37,39.4,rain,36.4,87.9,1,3,none,0,no_action,7
6,morning,1,0,health,doctor_appointment,70,outside,14.6,73.5,2,0.65,163.5,rain,53.1,100.0,0,5,none,0,no_action,7
3,night,6,1,none,none,999,outside,43.1,91.8,10,2.0,114.0,snow,79.8,42.3,0,2,none,1,sleep_suggestion,15
2,night,3,0,none,none,999,outside,82.9,90.0,8,0.86,17.3,rain,38.7,41.2,1,0,music,1,no_action,7
17,evening,6,1,health,therapy,11,commuting,83.5,92.3,1,1.62,95.3,fog,96.5,34.2,0,2,none,0,no_action,7
8,morning,2,0,health,doctor_appointment,177,home,17.6,87.4,3,0.35,161.7,rain,37.2,95.4,1,0,none,0,no_action,7
13,afternoon,1,0,work,focus_work,132,work,74.1,42.2,3,0.54,58.6,clear,74.4,81.4,0,0,music,0,no_action,7
18,evening,5,1,social,dinner,127,restaurant,90.3,70.1,0,1.99,143.1,rain,49.3,73.5,0,4,music,0,no_action,7
3,night,2,0,none,none,999,outside,89.5,27.4,0,2.75,171.6,rain,57.2,58.9,1,3,none,1,no_action,7
20,evening,6,1,social,friends_hangout,36,home,94.3,77.4,7,2.38,102.6,clear,67.1,33.9,0,2,none,0,start_commute,17
16,afternoon,0,0,school,study_session,145,school,47.8,27.0,9,0.59,110.1,clear,62.8,76.7,0,5,podcast,0,take_break,20
11,morning,2,0,work,presentation,61,work,70.5,33.0,5,0.8,27.9,rain,3.1,100.0,0,5,none,0,no_action,7
10,morning,3,0,work,presentation,-23,work,66.1,54.1,3,0.18,9.3,clear,70.0,82.0,0,4,podcast,0,send_late_message,13
9,morning,5,1,school,study_session,89,school,17.1,60.9,6,0.05,173.3,clear,68.8,23.3,0,1,none,0,study_for_class,18
1,night,5,1,work,team_meeting,58,work,95.9,40.5,5,2.68,99.8,rain,4.8,87.9,0,2,podcast,1,take_break,20
13,afternoon,3,0,school,lecture,63,school,52.7,83.1,6,0.21,88.5,clear,46.5,84.4,0,1,music,0,study_for_class,18
4,night,3,0,school,assignment_due,107,school,87.1,73.5,7,2.15,29.3,fog,94.4,100.0,1,2,podcast,1,no_action,7
11,morning,1,0,social,dinner,2,restaurant,94.7,100.0,9,0.98,173.0,clear,27.4,16.2,0,5,none,0,no_action,7
18,evening,1,0,social,family_time,50,home,71.3,43.1,6,0.83,46.9,clear,69.7,100.0,0,4,none,0,no_action,7
20,evening,4,0,work,focus_work,107,work,61.8,100.0,0,2.63,23.0,rain,34.1,18.1,1,4,none,0,no_action,7
22,night,4,0,none,none,999,outside,58.1,56.3,10,1.37,70.1,clear,5.3,31.4,1,2,none,1,wind_down,22
6,morning,3,0,none,none,999,outside,66.9,74.4,8,1.19,52.8,rain,21.3,79.9,1,0,none,0,exercise_suggestion,2
20,evening,1,0,none,none,999,home,73.5,80.1,9,6.93,123.8,rain,10.1,100.0,0,4,none,0,eat_something,1
8,morning,1,0,none,none,999,outside,31.0,73.1,5,1.74,155.4,snow,94.7,35.6,1,3,none,0,read_email_alert,12
18,evening,4,0,work,focus_work,136,work,20.0,93.4,9,1.36,2.0,rain,76.7,61.0,1,0,music,0,no_action,7
16,afternoon,0,0,none,none,999,outside,16.6,77.6,1,1.61,174.5,clear,21.7,65.3,0,0,music,0,no_action,7
21,night,2,0,none,none,999,outside,35.0,100.0,9,0.42,83.5,clear,26.6,44.8,0,3,podcast,1,wind_down,22
21,night,6,1,health,gym,130,gym,34.4,100.0,5,0.29,13.7,fog,72.6,27.7,0,1,none,1,no_action,7
