Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Power (Total) [W]","GPU Rail Powers (avg) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Memory Usage [%]","GPU D3D Memory Dedicated [MB]",
25.4.2026,11:29:46.810,42.3,50.0,51.917,0.000,390.0,101.2,10.7,649,
25.4.2026,11:29:47.014,42.4,50.0,53.580,0.000,660.0,202.5,10.7,653,
25.4.2026,11:29:47.214,42.4,49.9,52.028,0.000,660.0,202.5,10.7,653,
25.4.2026,11:29:47.423,42.4,49.9,51.894,0.000,660.0,202.5,10.7,653,
25.4.2026,11:29:47.623,42.4,50.1,51.907,0.000,660.0,202.5,10.7,653,
25.4.2026,11:29:47.826,42.5,50.0,53.000,0.000,660.0,202.5,10.8,661,
25.4.2026,11:29:48.036,42.4,50.0,52.021,0.000,660.0,202.5,10.8,661,
25.4.2026,11:29:48.241,42.4,50.1,52.002,0.000,660.0,202.5,10.9,665,
25.4.2026,11:29:48.442,42.4,50.1,52.103,0.000,660.0,202.5,10.9,665,
25.4.2026,11:29:48.646,42.4,50.0,52.348,0.000,660.0,202.5,10.9,666,
25.4.2026,11:29:48.845,42.4,50.0,52.170,0.000,300.0,101.2,10.9,666,
25.4.2026,11:29:49.051,42.3,50.0,53.038,0.000,285.0,101.2,10.9,666,
25.4.2026,11:29:49.250,42.4,50.0,52.432,0.000,270.0,101.2,10.9,666,
25.4.2026,11:29:49.449,42.3,50.0,52.311,0.000,255.0,101.2,10.9,666,
25.4.2026,11:29:49.655,42.3,50.1,52.723,0.000,255.0,101.2,10.9,666,
25.4.2026,11:29:49.856,42.3,50.1,51.970,0.000,240.0,101.2,10.8,662,
25.4.2026,11:29:50.066,42.3,50.0,52.472,0.000,225.0,101.2,10.8,656,
25.4.2026,11:29:50.261,42.3,50.0,51.953,0.000,225.0,101.2,10.8,662,
25.4.2026,11:29:50.468,42.4,50.0,52.141,0.000,225.0,101.2,10.8,662,
25.4.2026,11:29:50.672,42.3,50.1,51.970,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:50.872,42.3,50.1,51.970,0.000,210.0,101.2,10.9,668,
25.4.2026,11:29:51.079,42.3,50.1,51.985,0.000,210.0,101.2,10.9,668,
25.4.2026,11:29:51.281,42.4,50.2,52.116,0.000,210.0,101.2,10.9,668,
25.4.2026,11:29:51.483,42.4,50.1,51.928,0.000,210.0,101.2,10.9,668,
25.4.2026,11:29:51.689,42.3,50.1,52.087,0.000,210.0,101.2,10.9,668,
25.4.2026,11:29:51.891,42.4,50.2,51.928,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:52.091,42.4,50.2,52.210,0.000,210.0,101.2,10.8,663,
25.4.2026,11:29:52.295,42.4,50.1,52.051,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:52.502,42.4,50.2,52.514,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:52.700,42.4,50.2,52.741,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:52.907,42.4,50.2,52.893,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:53.106,42.4,50.2,52.992,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:53.309,42.4,50.3,52.967,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:53.516,42.4,50.2,52.118,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:53.718,42.4,50.2,53.245,0.000,210.0,101.2,10.9,665,
25.4.2026,11:29:53.919,43.1,50.4,53.935,0.000,2475.0,2062.7,12.0,760,
25.4.2026,11:29:54.123,43.3,50.5,54.607,0.000,2475.0,2062.7,12.1,762,
25.4.2026,11:29:54.325,43.4,50.5,54.359,0.000,2475.0,2062.7,12.1,762,
25.4.2026,11:29:54.528,43.5,50.6,54.292,0.000,2475.0,2062.7,12.1,762,
25.4.2026,11:29:54.736,43.5,50.7,54.317,0.000,2475.0,2062.7,12.1,762,
25.4.2026,11:29:54.935,43.6,50.6,54.230,0.000,2475.0,2062.7,12.1,762,
25.4.2026,11:29:55.140,43.6,50.7,54.308,0.000,2475.0,2062.7,12.1,762,
25.4.2026,11:29:55.342,43.6,50.8,54.305,0.000,2475.0,2062.7,12.5,802,
25.4.2026,11:29:55.549,43.7,50.7,54.262,0.000,2475.0,2062.7,12.6,810,
25.4.2026,11:29:55.746,44.1,50.9,54.510,0.000,2475.0,2062.7,12.6,810,
25.4.2026,11:29:55.955,44.2,50.8,54.445,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:56.159,44.2,51.0,54.671,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:56.361,44.3,51.0,54.893,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:56.564,44.3,51.0,54.880,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:56.767,44.3,51.0,54.828,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:56.970,44.3,51.0,54.738,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:57.170,44.4,51.0,54.835,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:57.378,44.4,51.2,54.661,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:57.578,44.4,51.1,54.571,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:57.787,44.5,51.2,54.744,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:57.984,44.5,51.2,54.706,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:58.188,44.5,51.2,54.753,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:58.394,44.6,51.2,54.627,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:58.598,44.6,51.3,54.973,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:58.800,44.6,51.2,54.960,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:59.008,44.5,51.1,55.252,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:59.212,44.5,51.3,54.986,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:59.409,44.7,51.3,54.582,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:59.613,44.6,51.4,54.770,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:29:59.811,44.7,51.5,54.558,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:30:0.016,44.7,51.5,54.771,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:30:0.218,44.7,51.5,54.523,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:30:0.421,44.7,51.5,54.492,0.000,2475.0,2062.7,12.7,812,
25.4.2026,11:30:0.627,43.8,51.2,52.393,0.000,780.0,1250.2,12.7,812,
25.4.2026,11:30:0.828,43.7,51.2,52.164,0.000,780.0,1250.2,12.7,812,
25.4.2026,11:30:1.038,43.7,51.2,52.156,0.000,780.0,1250.2,12.7,812,
25.4.2026,11:30:1.234,43.6,51.2,52.275,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:1.436,43.5,51.1,52.209,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:1.645,43.5,51.0,52.091,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:1.844,43.5,51.1,52.419,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:2.048,43.5,51.0,52.446,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:2.250,43.5,51.0,53.217,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:2.453,43.4,51.0,52.204,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:2.659,43.5,51.0,52.455,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:2.859,43.5,51.1,52.080,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:3.063,43.4,51.1,52.368,0.000,780.0,202.5,12.7,812,
25.4.2026,11:30:3.270,43.4,51.0,52.274,0.000,765.0,202.5,12.7,812,
25.4.2026,11:30:3.470,43.4,51.0,52.075,0.000,765.0,202.5,12.7,812,
25.4.2026,11:30:3.675,43.4,51.1,52.075,0.000,750.0,202.5,12.7,812,
25.4.2026,11:30:3.879,43.4,51.1,52.351,0.000,750.0,202.5,12.7,812,
25.4.2026,11:30:4.077,43.4,51.1,52.278,0.000,735.0,202.5,12.7,812,
25.4.2026,11:30:4.284,43.4,51.1,52.154,0.000,720.0,202.5,12.6,807,
25.4.2026,11:30:4.488,43.4,51.1,52.132,0.000,705.0,202.5,12.6,809,
25.4.2026,11:30:4.689,43.4,51.0,52.364,0.000,705.0,202.5,12.7,812,
25.4.2026,11:30:4.892,43.4,51.0,52.427,0.000,690.0,202.5,12.7,812,
25.4.2026,11:30:5.092,43.4,51.1,52.218,0.000,690.0,202.5,12.7,812,
25.4.2026,11:30:5.301,43.4,51.2,52.451,0.000,675.0,202.5,12.7,812,
25.4.2026,11:30:5.498,43.4,51.0,52.371,0.000,675.0,202.5,12.7,812,
25.4.2026,11:30:5.703,43.4,51.0,52.434,0.000,660.0,202.5,12.7,812,
25.4.2026,11:30:5.905,43.4,51.0,52.629,0.000,645.0,202.5,12.7,812,
25.4.2026,11:30:6.110,43.4,51.0,52.405,0.000,630.0,202.5,12.7,812,
25.4.2026,11:30:6.312,43.4,51.0,53.057,0.000,630.0,202.5,12.7,812,
25.4.2026,11:30:6.520,43.4,51.0,52.083,0.000,630.0,202.5,12.7,812,
25.4.2026,11:30:6.723,43.4,51.0,52.121,0.000,615.0,202.5,12.7,812,
25.4.2026,11:30:6.923,43.4,51.0,52.190,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:7.124,43.4,50.9,52.125,0.000,585.0,202.5,12.7,812,
25.4.2026,11:30:7.325,43.4,51.1,52.451,0.000,585.0,202.5,12.7,812,
25.4.2026,11:30:7.532,43.4,51.0,52.044,0.000,570.0,202.5,12.7,812,
25.4.2026,11:30:7.736,43.4,51.0,52.129,0.000,555.0,202.5,12.7,812,
25.4.2026,11:30:7.942,43.4,51.1,52.097,0.000,540.0,202.5,12.7,812,
25.4.2026,11:30:8.140,43.4,51.0,52.184,0.000,540.0,202.5,12.7,812,
25.4.2026,11:30:8.346,43.4,51.1,52.178,0.000,525.0,202.5,12.7,812,
25.4.2026,11:30:8.545,43.4,51.1,52.002,0.000,510.0,202.5,12.7,812,
25.4.2026,11:30:8.751,43.4,51.1,52.393,0.000,510.0,202.5,12.7,812,
25.4.2026,11:30:8.955,43.4,51.1,52.320,0.000,510.0,202.5,12.7,812,
25.4.2026,11:30:9.158,43.7,51.1,52.193,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:9.362,43.8,51.1,52.065,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:9.563,43.8,51.2,52.161,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:9.765,43.9,51.2,52.293,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:9.968,43.9,51.2,52.286,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:10.178,43.9,51.3,52.175,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:10.373,44.0,51.3,52.247,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:10.584,44.0,51.2,52.338,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:10.781,44.0,51.3,52.414,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:10.989,44.0,51.2,52.071,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:11.185,44.0,51.2,52.278,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:11.394,44.0,51.3,52.472,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:11.601,43.9,51.3,52.312,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:11.800,43.7,51.3,52.904,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:12.000,43.7,51.3,52.817,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:12.205,43.6,51.3,52.747,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:12.406,43.6,51.4,52.928,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:12.606,43.6,51.3,52.958,0.000,600.0,202.5,12.7,812,
25.4.2026,11:30:12.812,43.7,51.3,53.008,0.000,585.0,202.5,12.7,812,
25.4.2026,11:30:13.014,43.6,51.3,52.201,0.000,585.0,202.5,12.7,812,
25.4.2026,11:30:13.223,43.6,51.2,52.321,0.000,585.0,202.5,12.7,816,
25.4.2026,11:30:13.424,43.6,51.3,52.351,0.000,570.0,202.5,12.7,816,
25.4.2026,11:30:13.622,43.6,51.2,52.085,0.000,555.0,202.5,12.7,816,
25.4.2026,11:30:13.826,43.6,51.3,52.416,0.000,555.0,202.5,12.7,816,
25.4.2026,11:30:14.032,43.6,51.4,52.096,0.000,540.0,202.5,12.7,816,
25.4.2026,11:30:14.234,43.6,51.4,52.082,0.000,525.0,202.5,12.7,817,
25.4.2026,11:30:14.437,43.8,51.2,52.047,0.000,780.0,2062.7,12.7,812,
25.4.2026,11:30:14.648,44.0,51.3,52.051,0.000,780.0,2062.7,12.6,803,
25.4.2026,11:30:14.845,44.0,51.3,52.175,0.000,780.0,2062.7,12.5,799,
25.4.2026,11:30:15.046,44.1,51.5,52.353,0.000,780.0,2062.7,12.6,803,
25.4.2026,11:30:15.251,44.1,51.4,52.334,0.000,780.0,2062.7,12.6,803,
25.4.2026,11:30:15.457,44.1,51.5,52.355,0.000,780.0,2062.7,12.6,803,
25.4.2026,11:30:15.672,44.1,51.5,52.337,0.000,780.0,2062.7,12.6,804,
25.4.2026,11:30:15.862,44.1,51.6,52.113,0.000,780.0,2062.7,12.7,811,
25.4.2026,11:30:16.058,44.2,51.5,52.237,0.000,780.0,2062.7,12.7,811,
25.4.2026,11:30:16.262,44.2,51.5,52.237,0.000,780.0,2062.7,12.7,811,
25.4.2026,11:30:16.466,44.2,51.6,52.018,0.000,780.0,2062.7,12.7,811,
25.4.2026,11:30:16.676,44.2,51.6,52.063,0.000,780.0,2062.7,12.6,807,
25.4.2026,11:30:16.877,44.2,51.5,52.074,0.000,780.0,2062.7,12.6,807,
25.4.2026,11:30:17.077,44.2,51.6,52.493,0.000,780.0,2062.7,12.7,819,
25.4.2026,11:30:17.279,44.3,51.5,52.359,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:17.484,44.3,51.7,52.184,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:17.684,44.2,51.6,52.175,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:17.888,44.3,51.6,52.140,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:18.090,44.3,51.6,52.357,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:18.294,44.3,51.6,52.094,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:18.500,44.1,51.6,52.145,0.000,780.0,2062.7,12.8,823,
25.4.2026,11:30:18.701,44.0,51.7,52.069,0.000,540.0,202.5,12.8,823,
25.4.2026,11:30:18.902,43.9,51.7,52.309,0.000,540.0,202.5,12.8,823,
25.4.2026,11:30:19.108,43.9,51.6,52.383,0.000,540.0,202.5,12.8,823,
25.4.2026,11:30:19.314,43.9,51.7,52.189,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:19.517,43.9,51.7,52.189,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:19.716,43.8,51.5,52.064,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:19.934,43.9,51.6,52.043,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:20.121,43.9,51.6,52.040,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:20.327,43.8,51.5,52.147,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:20.529,43.8,51.7,52.338,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:20.732,43.9,51.6,52.093,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:20.940,43.8,51.6,52.119,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:21.143,43.8,51.5,52.094,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:21.346,43.9,51.6,52.120,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:21.555,43.8,51.5,52.102,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:21.751,43.9,51.6,52.537,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:21.949,43.9,51.6,52.114,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:22.157,43.9,51.6,52.061,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:22.368,43.9,51.6,52.343,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:22.563,43.9,51.7,52.227,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:22.769,43.9,51.6,52.533,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:22.968,43.9,51.7,52.119,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:23.181,43.9,51.6,52.357,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:23.383,43.9,51.6,52.123,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:23.594,43.9,51.7,52.629,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:23.787,43.9,51.7,52.840,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:23.984,43.9,51.7,53.022,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:24.189,43.9,51.6,52.137,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:24.388,43.9,51.7,53.047,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:24.601,43.9,51.7,52.974,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:24.795,43.9,51.7,52.760,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:25.018,43.9,51.6,52.745,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:25.210,43.9,51.7,52.254,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:25.407,44.0,51.7,52.326,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:25.617,43.9,51.6,52.105,0.000,525.0,202.5,12.8,823,
25.4.2026,11:30:25.814,43.9,51.7,52.129,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:26.026,43.9,51.8,52.356,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:26.215,43.9,51.8,52.220,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:26.421,43.9,51.7,52.151,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:26.633,43.9,51.7,52.063,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:26.835,43.9,51.7,52.163,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:27.029,43.9,51.7,52.126,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:27.252,43.9,51.7,52.163,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:27.447,44.0,51.7,52.354,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:27.653,44.0,51.7,52.294,0.000,540.0,202.5,12.8,823,
25.4.2026,11:30:27.854,44.0,51.7,52.674,0.000,540.0,202.5,12.8,823,
25.4.2026,11:30:28.054,44.0,51.7,52.557,0.000,540.0,202.5,12.8,823,
25.4.2026,11:30:28.253,44.0,51.8,52.488,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:28.460,44.0,51.8,51.960,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:28.652,44.0,51.7,52.299,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:28.859,44.0,51.7,52.442,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:29.066,44.0,51.7,52.134,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:29.272,44.0,51.8,52.151,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:29.473,44.0,51.7,52.288,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:29.673,44.0,51.7,52.110,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:29.875,44.0,51.9,52.510,0.000,555.0,202.5,12.8,823,
25.4.2026,11:30:30.086,44.0,51.7,52.080,0.000,525.0,202.5,12.8,823,
