Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.3.2026,21:28:27.720,50.0,51.0,20.000,20.459,16.0,1728.0,2163,2455,
19.3.2026,21:28:27.838,50.0,51.0,21.000,21.366,42.0,1726.0,2165,2457,
19.3.2026,21:28:28.039,50.0,51.0,20.000,21.552,43.0,1730.0,2160,2452,
19.3.2026,21:28:28.239,50.0,51.0,20.000,21.029,46.0,1730.0,2160,2452,
19.3.2026,21:28:28.459,50.0,51.0,21.000,21.059,42.0,1730.0,2160,2452,
19.3.2026,21:28:28.670,50.0,51.0,21.000,21.026,49.0,1730.0,2161,2453,
19.3.2026,21:28:28.862,49.0,51.0,21.000,21.308,23.0,1728.0,2161,2453,
19.3.2026,21:28:29.071,50.0,51.0,21.000,21.142,39.0,1730.0,2161,2453,
19.3.2026,21:28:29.271,50.0,51.0,21.000,21.194,38.0,1730.0,2161,2453,
19.3.2026,21:28:29.475,50.0,51.0,20.000,21.038,42.0,1730.0,2161,2453,
19.3.2026,21:28:29.688,50.0,51.0,21.000,21.060,13.0,1730.0,2161,2453,
19.3.2026,21:28:29.904,50.0,51.0,21.000,21.007,55.0,1728.0,2161,2453,
19.3.2026,21:28:30.105,50.0,51.0,21.000,21.089,69.0,1730.0,2161,2453,
19.3.2026,21:28:30.308,50.0,51.0,21.000,21.158,49.0,1730.0,2161,2453,
19.3.2026,21:28:30.508,50.0,51.0,20.000,21.099,45.0,1730.0,2161,2453,
19.3.2026,21:28:30.722,50.0,51.0,21.000,20.979,22.0,1730.0,2160,2452,
19.3.2026,21:28:30.939,50.0,51.0,21.000,21.073,48.0,1730.0,2160,2452,
19.3.2026,21:28:31.156,50.0,51.0,20.000,21.221,42.0,1718.0,2160,2452,
19.3.2026,21:28:31.372,50.0,51.0,21.000,21.177,41.0,1730.0,2160,2452,
19.3.2026,21:28:31.573,50.0,51.0,21.000,21.075,53.0,1726.0,2160,2452,
19.3.2026,21:28:31.773,50.0,51.0,20.000,21.080,34.0,1730.0,2160,2452,
19.3.2026,21:28:31.973,49.0,51.0,21.000,21.051,48.0,1730.0,2160,2452,
19.3.2026,21:28:32.174,50.0,51.0,21.000,21.333,47.0,1730.0,2160,2452,
19.3.2026,21:28:32.390,50.0,51.0,21.000,21.205,41.0,1730.0,2160,2452,
19.3.2026,21:28:32.608,50.0,51.0,20.000,20.868,9.0,1726.0,2160,2452,
19.3.2026,21:28:32.808,50.0,52.0,21.000,21.131,46.0,1730.0,2160,2452,
19.3.2026,21:28:33.009,50.0,51.0,20.000,21.121,46.0,1730.0,2160,2452,
19.3.2026,21:28:33.208,50.0,51.0,20.000,21.053,48.0,1730.0,2160,2452,
19.3.2026,21:28:33.408,50.0,51.0,21.000,21.056,42.0,1730.0,2160,2452,
19.3.2026,21:28:33.625,50.0,51.0,20.000,20.717,20.0,1730.0,2160,2452,
19.3.2026,21:28:33.842,50.0,52.0,21.000,21.110,46.0,1730.0,2160,2452,
19.3.2026,21:28:34.043,50.0,51.0,21.000,21.133,21.0,1730.0,2160,2452,
19.3.2026,21:28:34.243,50.0,51.0,21.000,21.350,44.0,1728.0,2161,2453,
19.3.2026,21:28:34.442,50.0,51.0,22.000,22.597,17.0,1730.0,2162,2454,
19.3.2026,21:28:34.643,50.0,51.0,21.000,21.731,3.0,1730.0,2162,2454,
19.3.2026,21:28:34.843,50.0,52.0,22.000,22.681,15.0,1730.0,2162,2454,
19.3.2026,21:28:35.060,50.0,51.0,21.000,22.688,22.0,1728.0,2162,2454,
19.3.2026,21:28:35.260,50.0,53.0,34.000,29.912,1756.0,1728.0,2292,2582,
19.3.2026,21:28:35.460,50.0,52.0,35.000,32.516,1756.0,1730.0,2292,2582,
19.3.2026,21:28:35.661,50.0,53.0,35.000,32.761,1755.0,1730.0,2292,2582,
19.3.2026,21:28:35.861,51.0,53.0,35.000,32.807,1756.0,1730.0,2292,2582,
19.3.2026,21:28:36.077,51.0,52.0,35.000,33.061,1756.0,1730.0,2292,2582,
19.3.2026,21:28:36.294,50.0,53.0,35.000,33.001,1755.0,1728.0,2292,2582,
19.3.2026,21:28:36.494,51.0,53.0,34.000,32.930,1755.0,1730.0,2292,2582,
19.3.2026,21:28:36.695,51.0,53.0,34.000,32.723,1756.0,1730.0,2292,2582,
19.3.2026,21:28:36.895,51.0,53.0,35.000,33.099,1755.0,1730.0,2292,2582,
19.3.2026,21:28:37.096,50.0,52.0,34.000,32.907,1756.0,1730.0,2292,2582,
19.3.2026,21:28:37.323,51.0,53.0,30.000,31.395,1730.0,1730.0,2292,2582,
19.3.2026,21:28:37.515,51.0,53.0,29.000,29.908,1757.0,1730.0,2292,2582,
